Index,Variant,"Major area, region, country or area",Notes,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
11,Estimates,Comoros,,174,156.334,160.249,163.89,167.35,170.705,174.01,177.302,180.597,183.898,187.192,190.475,193.754,197.073,200.505,204.15,208.08,212.381,217.054,221.983,226.997,232,236.885,241.769,247.059,253.302,260.863,269.912,280.248,291.395,302.678,313.598,323.998,333.998,343.708,353.345,363.068,372.895,382.771,392.705,402.707,412.79,422.969,433.286,443.82,454.665,465.895,477.548,489.627,502.128,515.028,528.312,541.976,556.028,570.491,585.389,600.733,616.526,632.736,649.291,666.097,683.081
12,Estimates,Djibouti,,262,62.001,63.307,64.746,66.272,67.876,69.594,71.498,73.704,76.354,79.617,83.636,88.499,94.2,100.622,107.584,114.963,122.866,131.401,140.459,149.887,159.667,169.374,179.224,190.56,205.197,224.244,248.71,277.75,308.385,336.479,359.247,375.041,385.184,393.443,405.229,424.227,451.942,486.555,524.393,560.124,589.924,612.589,629.373,641.9,652.793,663.999,675.891,687.897,699.922,711.652,722.887,733.732,744.434,755.085,765.776,776.585,787.544,798.69,810.1,821.865,834.036
13,Estimates,Eritrea,,232,1141.3,1161.581,1183.455,1206.765,1231.393,1257.258,1284.317,1312.565,1342.028,1372.758,1404.81,1438.217,1472.966,1508.999,1546.225,1584.606,1624.256,1665.301,1707.748,1751.59,1796.912,1843.624,1891.998,1942.922,1997.553,2056.693,2120.634,2189.07,2261.435,2336.862,2414.647,2493.745,2573.931,2656.189,2742.004,2831.894,2928.032,3028.719,3126.1,3209.606,3272.563,3311.719,3331.918,3344.626,3365.933,3407.812,3473.399,3560.353,3668.35,3795.384,3939.348,4101.609,4281.576,4472.533,4665.522,4854.066,5035.036,5209.846,5382.163,5557.889,5741.159
14,Estimates,Ethiopia,,231,18128.034,18466.88,18819.589,19184.205,19559.958,19947.265,20347.803,20764.438,21201.005,21661.945,22151.218,22671.134,23221.344,23798.397,24396.981,25013.551,25641.137,26280.676,26945.326,27653.511,28414.999,29246.389,30135.531,31029.594,31856.458,32569.908,33145.955,33615.472,34054.601,34570.544,35241.209,36094.424,37110.033,38259.33,39493.61,40777.189,42100.969,43477.401,44916.621,46435.325,48042.755,49743.883,51525.658,53357.867,55199.953,57023.519,58815.116,60584.273,62353.942,64158.887,66024.199,67956.866,69948.344,71989.666,74066.147,76167.24,78290.649,80440.708,82621.19,84838.032,87095.281
15,Estimates,Kenya,,404,6076.757,6240.177,6412.38,6593.123,6782.3,6979.939,7186.212,7401.422,7626,7860.48,8105.44,8361.442,8628.973,8908.425,9200.158,9504.702,9822.505,10154.489,10502.25,10867.717,11252.466,11657.477,12083.159,12529.8,12997.438,13486.241,13995.996,14527.242,15081.677,15661.48,16267.906,16901.167,17559.844,18241.424,18942.464,19660.018,20392.312,21138.372,21896.89,22666.72,23446.439,24237.056,25036.941,25839.132,26634.659,27418.077,28186.224,28943.647,29702.246,30478.597,31285.05,32126.351,33000.524,33905.011,34834.606,35785.718,36757.498,37752.304,38773.277,39824.734,40909.194
16,Estimates,Madagascar,,450,4083.554,4167.827,4256.12,4348.239,4444.061,4543.542,4646.714,4753.685,4864.631,4979.779,5099.371,5223.621,5352.674,5486.593,5625.401,5769.219,5918.06,6072.27,6232.704,6400.454,6576.301,6760.352,6952.383,7152.391,7360.271,7575.757,7799.642,8031.589,8268.902,8507.958,8746.516,8983.494,9220.693,9462.343,9714.342,9981.113,10264.368,10563.491,10877.757,11205.548,11545.782,11898.267,12263.899,12643.864,13039.754,13452.526,13882.646,14329.239,14790.245,15262.817,15744.811,16235.767,16736.029,17245.275,17763.367,18290.394,18826.126,19371.023,19926.785,20495.695,21079.532
17,Estimates,Malawi,,454,2880.7,2930.29,2984.394,3042.164,3102.98,3166.448,3232.409,3300.928,3372.273,3446.86,3525.127,3607.383,3693.68,3783.766,3877.229,3973.96,4073.777,4177.347,4286.43,4403.344,4529.749,4666.194,4812.216,4967.159,5129.915,5299.532,5478.781,5668.178,5862.115,6052.94,6236.824,6403.934,6559.281,6731.171,6958.278,7264.519,7667.832,8150.04,8655.185,9105.429,9447.123,9657.518,9759.434,9800.635,9851.737,9964.065,10153.315,10404.259,10700.18,11012.707,11321.496,11623.166,11926.778,12238.739,12569.091,12924.746,13307.535,13713.758,14138.207,14573.338,15013.694
18,Estimates,Mauritius,1,480,493.254,506.431,521.19,537.048,553.623,570.645,587.949,605.482,623.275,641.427,660.023,679.045,698.307,717.413,735.86,753.285,769.556,784.777,799.139,812.944,826.447,839.6,852.397,865.173,878.355,892.208,906.926,922.325,937.82,952.587,966.036,978.067,988.89,998.625,1007.503,1015.763,1023.278,1030.175,1037.26,1045.588,1055.865,1068.409,1082.877,1098.471,1114.033,1128.676,1142.191,1154.701,1166.07,1176.227,1185.143,1192.719,1198.972,1204.161,1208.653,1212.752,1216.518,1219.976,1223.336,1226.841,1230.659
19,Estimates,Mayotte,,175,15.141,15.733,16.448,17.246,18.098,18.984,19.898,20.843,21.832,22.886,24.019,25.24,26.538,27.879,29.218,30.525,31.785,33.012,34.25,35.553,36.965,38.513,40.186,41.942,43.721,45.484,47.218,48.96,50.793,52.825,55.136,57.766,60.702,63.912,67.343,70.957,74.722,78.661,82.858,87.428,92.439,97.927,103.822,109.948,116.063,121.993,127.678,133.157,138.469,143.692,148.888,154.049,159.167,164.309,169.565,174.993,180.625,186.443,192.389,198.38,204.353
20,Estimates,Mozambique,,508,6442.133,6535.885,6636.027,6742.242,6854.304,6972.069,7095.485,7224.584,7359.473,7500.319,7647.284,7800.474,7959.881,8125.367,8296.721,8473.847,8657.157,8846.984,9043.116,9245.227,9453.375,9665.673,9882.718,10109.853,10354.3,10620.26,10908.161,11213.159,11527.369,11840.048,12142.014,12438.624,12729.259,12992.559,13200.833,13338.85,13390.888,13374.618,13348.965,13394.656,13567.959,13893.546,14350.459,14893.218,15453.464,15981.571,16463.426,16914.628,17350.739,17798.102,18275.618,18785.719,19319.894,19873.46,20438.827,21010.376,21587.317,22171.404,22762.525,23361.025,23967.265
