Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
36,Democratic Republic of the Congo,,180,COD,4,Country/Area,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,1.33,No,Yes,No,No,No,1.55,1998,13,[1.2 – 1.6],1.27,…,No
37,Equatorial Guinea,,226,GNQ,4,Country/Area,911,Middle Africa,903,Africa,No,Yes,Yes,No,Yes,4.17,No,Yes,No,No,No,4.67,2011,0,5,4.67,-6.6,No
38,Gabon,,266,GAB,4,Country/Area,911,Middle Africa,903,Africa,No,Yes,No,Yes,Yes,5.22,No,No,Yes,No,No,5.52,2004,7,5.2,5.03,-3.269230769,No
39,Sao Tome and Principe,,678,STP,4,Country/Area,911,Middle Africa,903,Africa,No,Yes,Yes,No,No,1.04,No,Yes,No,No,No,1.18,2004,7,…,0.95328,…,No
40,Northern Africa,,912,,3,Region,912,Northern Africa,903,Africa,,,,,,,,,,,,,,,,,,
41,Algeria,,12,DZA,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,0.07324,Yes,No,No,No,No,0.08007,2011,0,0.1,0.08007,-19.93,No
42,Egypt,,818,EGY,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2001,10,<0.1,<0.1,…,No
43,Libya,,434,LBY,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
44,Morocco,,504,MAR,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,0.13879,Yes,No,No,No,No,0.15844,2011,0,0.1,0.15844,58.44,No
45,Sudan,,729,SDN,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,Yes,No,No,0.38543,Yes,No,No,No,No,0.61014,1997,14,…,0.38443,…,No
46,Tunisia,,788,TUN,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
47,Western Sahara,,732,ESH,4,Country/Area,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
48,Southern Africa,,913,,3,Region,913,Southern Africa,903,Africa,,,,,,,,,,,,,,,,,,
49,Botswana,,72,BWA,4,Country/Area,913,Southern Africa,903,Africa,No,Yes,No,Yes,Yes,24.07,No,No,No,No,Yes,27.02,2001,10,24.8,23.37,-5.766129032,No
50,Lesotho,,426,LSO,4,Country/Area,913,Southern Africa,903,Africa,No,Yes,Yes,No,Yes,23.01,No,No,No,No,Yes,23.46,2001,10,23.6,23.32,-1.186440678,No
51,Namibia,,516,NAM,4,Country/Area,913,Southern Africa,903,Africa,No,Yes,No,Yes,Yes,13.69,No,No,No,Yes,No,15.85,2002,9,13.1,13.43,2.519083969,No
52,South Africa,,710,ZAF,4,Country/Area,913,Southern Africa,903,Africa,No,Yes,No,Yes,Yes,17.2,No,No,No,Yes,No,17.34,2011,0,17.8,17.34,-2.584269663,No
53,Swaziland,,748,SWZ,4,Country/Area,913,Southern Africa,903,Africa,No,Yes,No,Yes,Yes,25.79,No,No,No,No,Yes,25.98,2011,0,25.9,25.98,0.308880309,No
54,Western Africa,,914,,3,Region,914,Western Africa,903,Africa,,,,,,,,,,,,,,,,,,
55,Benin,,204,BEN,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,Yes,1.22,No,Yes,No,No,No,3.78,1987,24,1.2,1.21,0.833333333,No
56,Burkina Faso,,854,BFA,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,Yes,1.24,No,Yes,No,No,No,3.76,1989,22,1.2,1.13,-5.833333333,No
57,Cape Verde,,132,CPV,4,Country/Area,914,Western Africa,903,Africa,No,Yes,No,Yes,No,0.98441,Yes,No,No,No,No,1,2003,8,…,0.96844,…,No
58,Côte d'Ivoire,,384,CIV,4,Country/Area,914,Western Africa,903,Africa,No,Yes,No,Yes,Yes,3.39,No,Yes,No,No,No,7.29,1996,15,3.4,3.02,-11.17647059,No
59,Gambia,,270,GMB,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,1.42,No,Yes,No,No,No,1.46,2011,0,2,1.46,-27,No
60,Ghana,,288,GHA,4,Country/Area,914,Western Africa,903,Africa,No,Yes,No,Yes,Yes,1.61,No,Yes,No,No,No,2.2,2000,11,1.8,1.46,-18.88888889,No
61,Guinea,,324,GIN,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,Yes,2.3,No,Yes,No,No,No,2.53,2011,0,1.3,2.53,94.61538462,No
